crf_ver,joining_key,EPAL_LOCATION_LONGITUDE,EPAL_LOCATION_LATITUDE
1,uuid:71f31f1f-a28c-41e5-947e-52dfd92458b4,35.04769329,-15.77389947
1,uuid:a0f5e3c1-5ea7-4b46-bd75-98a8ac64f6c0,35.04769865,-15.77389947
1,uuid:cd24aee3-8835-49c7-8c14-9a1b622a6208,35.04764769,-15.77392012
1,uuid:f635c15b-b742-4491-ba6e-1a2f9d4e0f94,35.04767854,-15.77387398
1,uuid:508ea7ee-c3ee-4616-86e6-10b6ae4b2451,35.04770402,-15.77388689
1,uuid:5fbad062-382c-4f26-bdfc-c3956632f501,35.04766379,-15.77389076
1,uuid:2b78e5f4-760f-40b9-ab64-ae3a1237a244,35.04531652,-15.77382752
1,uuid:cec19811-b48e-4edd-9e62-8c427899cc75,35.04539665,-15.77379687
1,uuid:f7e4c83b-8103-4bf5-a141-db9f395edd96,35.04533663,-15.77374525
1,uuid:b0da0c8a-ae2b-4b3b-ae4e-430cc94569f0,35.04769195,-15.77389947
1,uuid:b2d311bc-7a83-4326-8801-179b7d572476,35.04771207,-15.77389205
1,uuid:21a420f3-a987-49bc-b6db-acdf096021d6,35.04768658,-15.7739098
1,uuid:46af98d1-d3c7-4a14-9566-0272efd929a2,35.04767183,-15.77389205
1,uuid:979ab156-a392-4983-aa0e-a067a444d6cc,35.04768927,-15.77387398
1,uuid:ef457e1b-d7f7-4a42-8f6c-92cfb78a0263,35.04771709,-15.77389463
1,uuid:8676cb8d-6a6e-4001-bc33-e2cc675ff636,35.0368461,-15.80024441
1,uuid:5c544903-b967-4a50-aa71-247570635ebb,35.03681559,-15.80021731
1,uuid:75fb547d-2367-4413-a98c-8adcf0ab61c3,35.03681291,-15.80032829
1,uuid:9d1f9a8b-41af-46d1-a3e5-a450e0ed2029,35.03686588,-15.80031152
1,uuid:32df2410-8cc2-46a5-9434-57e5bdb0718c,35.04904278,-15.77210585
1,uuid:ca4dfd83-62e7-4664-8f08-8e32686b07dd,35.04918326,-15.77213521
1,uuid:067a1ab4-ae7b-49e0-ae57-344f07ccfb81,35.04918158,-15.77213037
1,uuid:bad79a58-5bbf-468d-b09d-0439917a2511,35.04923422,-15.77213005
1,uuid:adda3103-bf3f-4050-a0ca-dbb0fea806e7,35.0490867,-15.77217909
1,uuid:61b99bee-0d0f-473a-a08f-6e0822802499,35.04924227,-15.77222297
1,uuid:9c85494a-e088-4a6d-bae2-4c5420c3ab8f,35.04924763,-15.77221007
1,uuid:f5a82313-a6a3-4db7-87cb-276da51a3ff9,35.04923154,-15.77224879
1,uuid:1d18c1ff-6801-4444-948b-6d96b0fb7b96,35.04751559,-15.77271276
1,uuid:d2230066-9d9e-47c0-9e85-455eac6f0ee6,35.04893381,-15.77232364
1,uuid:80494b41-bc37-4462-b244-916ee95f2443,35.04924495,-15.77218426
1,uuid:b7339981-80e3-449f-9d5f-326a4816928e,35.0492074,-15.77212489
1,uuid:e43dd03c-013f-4c41-9ce5-e43afcb19dd4,35.04903037,-15.77221007
1,uuid:d2916afa-80d4-494d-ab70-e1af32c7601a,35.04904378,-15.77219426
1,uuid:8eeaabdd-81d1-4ca8-b3fe-2674a4413361,35.04908133,-15.77221943
1,uuid:8ceabc69-14ac-4203-ab97-6831c77e9ec9,35.04900623,-15.77224621
1,uuid:37e2438b-ad85-4ac3-a260-79a7f6e7e4a6,35.04296221,-15.77571953
1,uuid:b5c260cf-623d-43f1-a3b1-37bb6dd165af,35.04864145,-15.77309768
1,uuid:5299f3f5-9b66-469c-8c44-df1d53f070f1,35.04904881,-15.77217974
1,uuid:b8ef35e3-5b00-4e3b-b80b-d5afdebbe52b,35.04898477,-15.77217909
1,uuid:7f5036b8-33d7-4357-998f-653e24da4adc,35.0490706,-15.77218942
1,uuid:2737b59e-3c3b-44e5-920a-c53bcbecc58e,35.04916716,-15.77208101
1,uuid:7a17718c-35db-4f4e-87fe-141a632b2e8f,35.04973043,-15.77201131
1,uuid:17a24f62-beff-47d2-bf39-207a783558f3,35.04896332,-15.77213521
1,uuid:c4f4d564-b0fb-4cdb-b186-45a065307cf1,35.0490411,-15.77217135
1,uuid:ddf9c8e3-6be0-425e-8590-0f0786239bb1,35.04914302,-15.77209391
1,uuid:f67d1183-2889-4f8c-99b6-430237a6bb0d,35.04914571,-15.77207584
1,uuid:d21c5751-3cb8-43ba-b115-c77373d0442b,35.04903574,-15.77216877
1,uuid:54d3e29f-b806-41af-b8bc-2b46ab992825,35.04911352,-15.77216361
1,uuid:81e72f6d-cf29-493e-bff7-296b72ca299d,35.04899014,-15.77214554
1,uuid:ae052ad2-9310-48bd-8305-241b9302f678,35.04906792,-15.77216877
1,uuid:ea4005bc-eaa9-40d8-85d3-f50afaef66be,35.04905183,-15.772192
1,uuid:ec52555f-a410-4ffd-acd3-3cf5091b4e5b,35.04903574,-15.77220232
1,uuid:395e3c46-41c0-47fd-8a54-0a17d7b7b981,35.04906524,-15.77219458
1,uuid:cfcde5f0-7ccd-4c28-bab3-8af190ab8b44,35.04895527,-15.77218426
1,uuid:a306618a-cb36-43fc-94ac-7fd687a995fa,35.04896332,-15.77221781
1,uuid:40af1f3b-849f-4c13-9d9c-1ff0e1a35926,35.04904915,-15.77222556
1,uuid:f612312e-8bcc-47af-a59e-a656f1c08b2f,35.04887648,-15.77222814
1,uuid:b80deb3b-188b-46d4-96c3-be64117e6b81,35.04899282,-15.7722333
1,uuid:50769a74-f32f-4393-9a38-8fb5d919c81b,35.0490411,-15.77222297
1,uuid:64ff30d2-e4aa-4bf1-97e4-5729e0b4e582,35.04901428,-15.77216619
1,uuid:1965c76b-91a5-42e6-b647-db87e7b4697c,35.0489499,-15.77221781
1,uuid:278499b1-f38b-4bc9-b362-caa53e8e7775,35.04893113,-15.77222297
1,uuid:9aaf00a7-8556-4d09-a942-14fbf3f67946,35.04892576,-15.77221781
1,uuid:22743f96-9592-4584-82c6-df90d41c7756,35.04911084,-15.77220232
1,uuid:26417dd3-4d72-4fb5-b267-176bc0c5be0a,35.0478217,-15.77381203
1,uuid:efaa12e0-526f-4193-bfe2-c8caca06ec77,35.04778147,-15.77375396
1,uuid:4e6f0f16-c777-4cb6-8068-e06038402ffa,35.04777543,-15.77374041
1,uuid:bea256f8-3d76-4a2d-8831-a01a098fc82a,35.04776336,-15.77374815
1,uuid:e8f16af9-1052-417e-976d-177f93ccc421,35.04774928,-15.77373266
1,uuid:10d3461f-a602-4cce-b129-8b0371064bed,35.04245594,-15.77108433
1,uuid:3259fedd-79f0-44b7-8939-bb88603390e8,35.04746731,-15.7737346
1,uuid:053b63b0-8d58-4b7b-b237-480a1af3831d,35.04739087,-15.77372879
1,uuid:302ced1e-1c70-45f9-ad93-4173f2fe7b15,35.03859255,-15.77134245
1,uuid:b4e27810-0a1c-4ef5-b8d5-ec9998d3fb2b,35.04434522,-15.80277236
1,uuid:ddc8bfbf-e46f-4dd3-a6fe-c41579e208a4,35.0442205,-15.80277236
1,uuid:83349777-9736-45ae-8583-5cdc064443da,35.04778147,-15.77373653
1,uuid:4375c201-6cb8-44c1-92cf-d4e9a12ea8d1,35.04774526,-15.77373073
1,uuid:c6912e7a-d0c6-4504-94ab-071b5f9b58e4,35.04776537,-15.77373847
1,uuid:67c48c4e-c7b0-4efa-84d2-ff17928a004b,35.04807919,-15.77382752
1,uuid:71ef2e66-32bd-4053-87e4-e3838dffb429,35.04785791,-15.77361844
1,uuid:81e6ef15-f2ea-4ab8-b29a-d73270afd21d,35.0479082,-15.77380429
1,uuid:db2dbbfe-fe4a-446f-afa2-386de112612e,35.04781567,-15.7737133
1,uuid:6bd91890-217d-408e-842a-6027bfd45823,35.04759002,-15.7739982
1,uuid:9b057b88-0611-4a73-bcad-cec6d4f722f6,35.04068937,-15.7691984
1,uuid:1e8ab749-d25d-4de8-b7c9-10dfa03aed32,35.04063103,-15.76908773
1,uuid:d02e1783-1951-46e6-ba15-71ec1ce297d9,35.04066121,-15.76920228
1,uuid:4292e8bf-cedf-4c75-82ee-11de2b35389a,35.04784383,-15.773632
1,uuid:da9448ac-6c83-4da6-b4a0-49c9f3e4b733,35.04786797,-15.77383139
1,uuid:24e4e94e-4b6b-4fda-9518-70591c7f1a33,35.04777543,-15.77373266
1,uuid:bd52cdbc-a174-469c-8160-e980eeea7fd8,35.04775532,-15.77374234
1,uuid:3a80bb23-448a-4035-8620-101610e222fc,35.04805103,-15.77386656
1,uuid:fea786be-d2dc-4c3d-ae51-53796681a82a,35.04787803,-15.77362232
1,uuid:23b2a6f1-ba62-448d-b8e1-f99814eb8b00,35.04779354,-15.77373653
1,uuid:5ade561e-ae3b-49fc-aae0-686639cbc545,35.04775934,-15.77375202
1,uuid:dcf08548-d265-43a2-be1c-5b6ef96c4129,35.04775129,-15.77375396
1,uuid:968be7ac-9c40-4395-8b26-931cacf810ba,35.04777107,-15.77373428
1,uuid:712a98f1-9dfc-4602-8f6d-7b1d98f732b2,35.04774325,-15.77373653
1,uuid:e3a73b64-b347-4dc3-8f4d-16600e2ed95b,35.04809126,-15.77388786
1,uuid:151dc227-7f2f-4ebf-b6e7-1ade37d33314,35.04788406,-15.77362425
1,uuid:19d791c5-8868-4b0e-96d6-722eea09e5c3,35.04786193,-15.77369201
1,uuid:0fd36ec4-f476-4292-9c78-caa11c1a7816,35.04775532,-15.77390141
1,uuid:e92197e0-8d17-488f-847a-07a83cc1c38e,35.04793637,-15.77384914
1,uuid:fda70a2f-96c1-465b-916b-6fea6f3bf2e3,35.0473788,-15.7738685
1,uuid:0d4623cd-116b-41d2-a140-4d4e368a2449,35.04799068,-15.7738101
1,uuid:17dc2c82-7eb6-45f7-85d3-48cb0869af98,35.04793637,-15.77392077
1,uuid:94bfca96-ae60-4867-9800-85ee263a0543,35.04774123,-15.77373847
1,uuid:726061a4-b1bc-4d6f-9c69-7f6ab9646a35,35.04778147,-15.77374041
1,uuid:f612b903-4c60-4eec-9577-02bb6b2d8c2d,35.04852276,-15.77351294
1,uuid:8f298c2b-7c7e-4ffd-b85a-bb98ebbe80b1,35.04775934,-15.77394013
1,uuid:31018241-5854-45a8-b334-e4868e8b9326,35.04804701,-15.77380429
1,uuid:f21f96ce-b3ab-4900-87e6-a2ba1d507e5f,35.04724704,-15.77381913
1,uuid:15e7277c-e2e5-4c97-800e-76ba56302c36,35.04751559,-15.77373073
1,uuid:de72a7c6-ea90-4b14-a628-522ea3e502ac,35.03892917,-15.77819616
1,uuid:076c6d92-5ec8-4b27-aaab-9bb2ac1bcd50,35.03896102,-15.77817938
1,uuid:b8762946-7a20-437b-9053-cb6de92e42fd,35.03899019,-15.77813938
1,uuid:30f628a8-40ce-47d7-9b02-61fe4a0e9dc6,35.05088143,-15.77350552
1,uuid:532e6476-c4cd-4fe8-8945-6b84d7130495,35.02962459,-15.78766907
1,uuid:917f9704-439a-41cd-aa8c-faa4b3f9df75,35.02954546,-15.78765036
1,uuid:12375ba3-d5bf-4a4c-a6cc-b3b813bababb,35.02953306,-15.78768746
